Organizing Committee,TECHNICAL PROGRAM CHAIRS,Krishna Baride,Cummins Inc
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Krishna Chaitanya Yarlagadda,Atlanticus
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kumar Gaurav,Indian Institute of Roorkee
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Madhu Arora,"Symbiosis Institute of Computer Studies and Research, Symbiosis International (Deemed University)"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Mahadev Patil,"R. V. University, Bengaluru"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,makhan Kumbhkar,"ICAR-IISR, Indore"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Mallikarjunaswamy M S,"Sri Jayachamarajendra College of Engineering, JSSSTU, Mysuru"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,manas nag,Central University of Rajasthan
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Manish Adawadkar,Nike
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Manju George,Independent Research
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Manjusha Nair,Amrita Vishwa Vidyapeetham
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Manohar Madgi,"KLE Technological University, Hubballi"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Mayur Deshmukh,"Vishwakarma University, Pune"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,MD ARQUAM,INDIAN INSTITUTE OF INFORMATIONAL TECHNOLOGY SONEPAT
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Md Haque,ICAR- Indian Agricultural Statistics Research Institute
Organizing Committee,TECHNICAL PROGRAM CHAIRS,MD. IQBAL,"QUANTUM UNIVERSITY, ROORKEE"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Meenakshi Mohan Bhardwaj,Amity University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Milankumar Rana,University of the cumberlands
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Minakshi Singh,King Khalid University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Mohan Gupta,Teerthanker Mahaveer University moradabad
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Nagaratna P Hegde,Vasavi College of Engineering
Organizing Committee,TECHNICAL PROGRAM CHAIRS,NAND YADAV,University Of south Dakota
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Naveen Kumar Dodde Gowda,"Couchbase, Inc. Software Industry"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,NAVNEET KAUR,"SIRT, BHOPAL"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Nazia Tabassum,"KCCITM, Greater Noida"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Neelam Sanjeev Kumar,"SRM Institute of Science And Technology,Vadapalani ,Chennai"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Neelamadhab Padhy,GIET University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Niharika P Pujari,McGraw Hill LLC
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Nikhil Dhiman,California State University - Los Angeles
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Nilay Vaidya,CMPICA
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Pallab Haldar,Cognizant
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Parag Tamhankar,Georgia State University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Parbhat Gupta,"SRM Institute of Science and Technology, Delhi NCR Campus, Modinagar, Ghaziabad, Uttar Pradesh"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Parshuram Kamble,Central University of Karnataka
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Parul Verma,"Amity University Uttar Pradesh, Luckow"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Peter Dolan,University of Minnesota Morris
Organizing Committee,TECHNICAL PROGRAM CHAIRS,PINTU NAIK,IITJAMMU
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Pradip Ghorpade,"VPKBIET,Baramati"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,PRAHLAD CHOWDHURY,Fujitsu America Inc.
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Prajakta Prakash Talathi,College Ave Student Loan
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Prajna Jha,Amity University Mumbai
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Prakash Hiremath,"KLE Technological University, Hubballi-580031, Karnataka, India"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Prashant Kumar,Chandigarh University Mohali
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Pratima Manhas,"Manav Rachna International Institute of Research & Studies, Faridabad"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Raghu Gollapudi,Fiserv Inc
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Rajasekhar Boddu,VIT-AP University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Rakesh Paul,West Bengal State University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Rakesh Reddy Thalakanti,Goldman sachs
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Rama Krishna Reddy Arumalla,Tesla
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Ramalingam Dharmalingam,MAJAN University College
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Rana Veer Samara Sihman Bharattej Rupavath,Independent Researcher
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Ravi Sambangi,General Motors
Organizing Committee,TECHNICAL PROGRAM CHAIRS,ravikumar M,kuvempu university
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Ravindra Hegadi,Central University of Karnataka
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Rodrigo Nava,Astrazeneca
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Rohith Vangalla,"Optum Services, Inc"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,S. Patil,"Eternal University, Baru Sahib, HP, India University of Agricultural Science, Bangalore"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sai Darshak Reddy Yettapu,University of the Cumberlands
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sai Dheeraj Sivva,Texas A& M University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sai Krishna Gunda,Walmart Global Tech
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sai Kumar Gunda,Tata consultancy services
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sai Prasad Mukala,Info Keys Inc
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sai Santosh Goud Bandari,TCS
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sameeksha Gupta,Meta
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sandeep Deshmukh,Biotronik Inc
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sanjay Jain,"ITM University, India"
